index;Review;Liked;dataCleaning;hilangkan_kapital;Review_clean;Review_clean_V2
684;Damn good steak.;1;Damn good steak;damn good steak;['damn', 'good', 'steak'];damn good steak
685;Total brunch fail.;0;Total brunch fail;total brunch fail;['total', 'brunch', 'fail'];total brunch fail
686;Prices are very reasonable, flavors are spot on, the sauce is home made, and the slaw is not drenched in mayo.;1;Prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo;prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo;['prices', 'reasonable', 'flavors', 'spot', 'sauce', 'home', 'made', 'slaw', 'drenched', 'mayo'];prices reasonable flavors spot sauce home made slaw drenched mayo
687;The decor is nice, and the piano music soundtrack is pleasant.;1;The decor is nice and the piano music soundtrack is pleasant;the decor is nice and the piano music soundtrack is pleasant;['decor', 'nice', 'piano', 'music', 'soundtrack', 'pleasant'];decor nice piano music soundtrack pleasant
688;The steak was amazing...rge fillet relleno was the best seafood plate i have ever had!;1;The steak was amazing rge fillet relleno was the best seafood plate i have ever had;the steak was amazing rge fillet relleno was the best seafood plate i have ever had;['steak', 'amazing', 'rge', 'fillet', 'relleno', 'best', 'seafood', 'plate', 'ever'];steak amazing rge fillet relleno best seafood plate ever
689;Good food , good service .;1;Good food good service;good food good service;['good', 'food', 'good', 'service'];good food good service
690;It was absolutely amazing.;1;It was absolutely amazing;it was absolutely amazing;['absolutely', 'amazing'];absolutely amazing
691;I probably won't be back, to be honest.;0;I probably won t be back to be honest;i probably won t be back to be honest;['probably', 'back', 'honest'];probably back honest
692;will definitely be back!;1;will definitely be back;will definitely be back;['definitely', 'back'];definitely back
693;The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well.;1;The sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well;the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well;['sergeant', 'pepper', 'beef', 'sandwich', 'auju', 'sauce', 'excellent', 'sandwich', 'well'];sergeant pepper beef sandwich auju sauce excellent sandwich well
694;Hawaiian Breeze, Mango Magic, and Pineapple Delight are the smoothies that I've tried so far and they're all good.;1;Hawaiian Breeze Mango Magic and Pineapple Delight are the smoothies that I ve tried so far and they re all good;hawaiian breeze mango magic and pineapple delight are the smoothies that i ve tried so far and they re all good;['hawaiian', 'breeze', 'mango', 'magic', 'pineapple', 'delight', 'smoothies', 'tried', 'far', 'good'];hawaiian breeze mango magic pineapple delight smoothies tried far good
695;Went for lunch - service was slow.;0;Went for lunch service was slow;went for lunch service was slow;['went', 'lunch', 'service', 'slow'];went lunch service slow
696;We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.;0;We had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed;we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed;['much', 'say', 'place', 'walked', 'expected', 'amazing', 'quickly', 'disappointed'];much say place walked expected amazing quickly disappointed
697;I was mortified.;0;I was mortified;i was mortified;['mortified'];mortified
698;Needless to say, we will never be back here again.;0;Needless to say we will never be back here again;needless to say we will never be back here again;['needless', 'say', 'never', 'back'];needless say never back
699;Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.;0;Anyways The food was definitely not filling at all and for the price you pay you should expect more;anyways the food was definitely not filling at all and for the price you pay you should expect more;['anyways', 'food', 'definitely', 'filling', 'price', 'pay', 'expect'];anyways food definitely filling price pay expect
700;The chips that came out were dripping with grease, and mostly not edible.;0;The chips that came out were dripping with grease and mostly not edible;the chips that came out were dripping with grease and mostly not edible;['chips', 'came', 'dripping', 'grease', 'mostly', 'edible'];chips came dripping grease mostly edible
701;I wasn't really impressed with Strip Steak.;0;I wasn t really impressed with Strip Steak;i wasn t really impressed with strip steak;['really', 'impressed', 'strip', 'steak'];really impressed strip steak
702;Have been going since 2007 and every meal has been awesome!!;1;Have been going since and every meal has been awesome;have been going since and every meal has been awesome;['going', 'since', 'every', 'meal', 'awesome'];going since every meal awesome
703;Our server was very nice and attentive as were the other serving staff.;1;Our server was very nice and attentive as were the other serving staff;our server was very nice and attentive as were the other serving staff;['server', 'nice', 'attentive', 'serving', 'staff'];server nice attentive serving staff
704;The cashier was friendly and even brought the food out to me.;1;The cashier was friendly and even brought the food out to me;the cashier was friendly and even brought the food out to me;['cashier', 'friendly', 'even', 'brought', 'food'];cashier friendly even brought food
705;I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.;0;I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer;i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer;['work', 'hospitality', 'industry', 'paradise', 'valley', 'refrained', 'recommending', 'cibo', 'longer'];work hospitality industry paradise valley refrained recommending cibo longer
706;The atmosphere here is fun.;1;The atmosphere here is fun;the atmosphere here is fun;['atmosphere', 'fun'];atmosphere fun
707;Would not recommend to others.;0;Would not recommend to others;would not recommend to others;['would', 'recommend', 'others'];would recommend others
708;"Service is quick and even ""to go"" orders are just like we like it!";1;Service is quick and even to go orders are just like we like it;service is quick and even to go orders are just like we like it;['service', 'quick', 'even', 'go', 'orders', 'like', 'like'];service quick even go orders like like
709;I mean really, how do you get so famous for your fish and chips when it's so terrible!?!;0;I mean really how do you get so famous for your fish and chips when it s so terrible;i mean really how do you get so famous for your fish and chips when it s so terrible;['mean', 'really', 'get', 'famous', 'fish', 'chips', 'terrible'];mean really get famous fish chips terrible
710;That said, our mouths and bellies were still quite pleased.;1;That said our mouths and bellies were still quite pleased;that said our mouths and bellies were still quite pleased;['said', 'mouths', 'bellies', 'still', 'quite', 'pleased'];said mouths bellies still quite pleased
711;Not my thing.;0;Not my thing;not my thing;['thing'];thing
712;2 Thumbs Up!!;1;Thumbs Up;thumbs up;['thumbs'];thumbs
713;If you are reading this please don't go there.;0;If you are reading this please don t go there;if you are reading this please don t go there;['reading', 'please', 'go'];reading please go
714;I loved the grilled pizza, reminded me of legit Italian pizza.;1;I loved the grilled pizza reminded me of legit Italian pizza;i loved the grilled pizza reminded me of legit italian pizza;['loved', 'grilled', 'pizza', 'reminded', 'legit', 'italian', 'pizza'];loved grilled pizza reminded legit italian pizza
